HUC_8,M3P_ppm,Soil Fertility Level
03010104,129.82235225080024,Excesive
03010106,128.01548750781424,Excesive
03010107,95.79703182080613,Excesive
03010201,1.7476735402665755,Very Low
03010202,8.978201218253114,Very Low
03010204,22.329341616086687,Low
03010205,77.81179272273435,Excesive
03020101,52.94344350119349,Excesive
03020103,170.78071405845276,Excesive
03020104,19.056663574075273,Low
03020201,216.6884879044909,Excesive
03020203,125.28587139767694,Excesive
03020204,36.422924900990026,Optimium
03030001,33.983182992546546,Medium
03030002,185.6863398454432,Excesive
03030003,88.71598449345863,Excesive
03030004,166.86830438988932,Excesive
03030005,13.480968189693213,Very Low
03030006,113.26283995878003,Excesive
03040101,108.31195107975098,Excesive
03040102,157.32972725088482,Excesive
03040103,59.40316948447614,Excesive
03040104,366.78031600421394,Excesive
03040105,251.4269536337352,Excesive
03040201,11.752530197369358,Very Low
03040202,22.773526563413874,Low
03040204,108.08085836133871,Excesive
03040205,110.15142201127705,Excesive
03040206,11.322797530762402,Very Low
03050103,99.16864961493178,Excesive
03050104,32.30523452584957,Medium
03050105,93.42079516258974,Excesive
03050106,14.279867674412653,Very Low
03050108,15.722464434000855,Very Low
03050109,214.93888164662258,Excesive
03050111,0.6143678172291728,Very Low
03050112,1.1081691724799985,Very Low
03050201,1.7476735402665755,Very Low
03050204,3.378775500602058,Very Low
03050205,10.174390484819675,Very Low
03050207,8.274049403728283,Very Low
03050208,5.8607628684082025,Very Low
03060101,124.09051860193571,Excesive
03060102,56.197124637342355,Excesive
03060103,2.4335615351704503,Very Low
03060104,182.55716768967704,Excesive
03060105,6.040232105263712,Very Low
03060107,84.12887968605557,Excesive
03060108,2.198810794737008,Very Low
03060109,2.162444839083326,Very Low
03060201,42.608774950039155,Optimium
03060203,5.3596573490720925,Very Low
03060204,141.03947106763002,Excesive
03070101,29.441567775771762,Medium
03070102,25.563799503736785,0
03070103,19.75856548028586,Low
03070104,5.2119871959032364,Very Low
03070105,86.84635211423182,Excesive
03070106,5.2119871959032364,Very Low
03070201,13.892052319150867,Very Low
03070202,6.040232105263712,Very Low
03070204,6.557827992109108,Very Low
03080101,0.4865825153359669,Very Low
03080102,2.1045980960415958,Very Low
03080103,0.718969844961908,Very Low
03080203,26.573409168706213,Medium
03090201,6.9481410846701435,Very Low
03090202,76.78662023660758,Excesive
03090204,1.2341528089646234,Very Low
03090205,125.28587139767694,Excesive
03100101,3.0870731085882004,Very Low
03100102,0.8476578805338841,Very Low
03100201,17.342034619277054,Low
03100205,5.2119871959032364,Very Low
03100208,347.86201253939834,Excesive
03110101,10.174390484819675,Very Low
03110102,738.2098415911228,Excesive
03110103,47.099357582938346,Optimium
03110201,4.54149637556559,Very Low
03110202,25.736046196575078,0
03110203,220.27440998729492,Excesive
03110205,41.48201746653701,Optimium
03120001,75.92916684935071,Excesive
03120002,2.6375597599241765,Very Low
03120003,3.176665765636363,Very Low
03130002,69.29433627559746,Excesive
03130003,33.831949373674576,Medium
03130005,21.856502356403183,Low
03130006,78.4908780827312,Excesive
03130007,14.618563958121548,Very Low
03130008,26.95184211554232,Medium
03130009,41.25383239333779,Optimium
03130010,66.49790047169857,Excesive
03130012,8.274049403728283,Very Low
03140101,17.342034619277054,Low
03140104,9.012975282065256,Very Low
03140106,0.7953783180796963,Very Low
03140201,41.612909158503115,Optimium
03140202,59.515297578805104,Excesive
03140203,79.8718737606033,Excesive
03140304,5.865152097028762,Very Low
